IID	pwm	Domain_EnsPID	Interaction_EnsPID	Start	End	Score	Type
47421	ABL1	ENSP00000361423	ENSP00000355773	385	399	0.89	MT
47422	ABL1	ENSP00000361423	ENSP00000357547	712	726	0.07	MT
47423	ABL1	ENSP00000361423	ENSP00000392123	4712	4726	0.91	MT
47424	ABL1	ENSP00000361423	ENSP00000455190	531	545	0.89	MT
47425	ABL1	ENSP00000361423	ENSP00000233057	447	461	0.89	MT
47426	ABL1	ENSP00000361423	ENSP00000278833	302	316	0.92	MT
47427	ABL1	ENSP00000361423	ENSP00000413354	1009	1023	0.93	MT
47428	ABL1	ENSP00000361423	ENSP00000453542	117	131	0.89	MT
47429	ABL1	ENSP00000361423	ENSP00000417479	310	324	0.1	MT
47430	ABL1	ENSP00000361423	ENSP00000357216	248	262	0.07	MT
47431	ABL1	ENSP00000361423	ENSP00000442731	135	149	0.1	MT
47432	ABL1	ENSP00000361423	ENSP00000441522	711	725	0.88	MT
47433	ABL1	ENSP00000361423	ENSP00000361015	183	197	0.08	MT
47434	ABL1	ENSP00000361423	ENSP00000418156	33	47	0.08	MT
47435	ABL1	ENSP00000361423	ENSP00000421078	920	934	0.9	MT
47436	ABL1	ENSP00000361423	ENSP00000453557	838	852	0.87	MT
47438	ABL1	ENSP00000361423	ENSP00000454742	361	375	0.89	MT
47439	ABL1	ENSP00000361423	ENSP00000462464	537	551	0.89	MT
47440	ABL1	ENSP00000361423	ENSP00000360387	124	138	0.93	MT
47441	ABL1	ENSP00000361423	ENSP00000362428	529	543	0.36	MT
47442	ABL1	ENSP00000361423	ENSP00000368759	216	230	0.94	MT
47443	ABL1	ENSP00000361423	ENSP00000397297	105	119	0.9	MT
47444	ABL1	ENSP00000361423	ENSP00000401823	158	172	0.35	MT
47445	ABL1	ENSP00000361423	ENSP00000387016	355	369	0.9	MT
47446	ABL1	ENSP00000361423	ENSP00000379486	23	37	0.06	MT
47447	ABL1	ENSP00000361423	ENSP00000429508	350	364	0.94	MT
47448	ABL1	ENSP00000361423	ENSP00000309644	75	89	0.07	MT
47449	ABL1	ENSP00000361423	ENSP00000261486	235	249	0.89	MT
47450	ABL1	ENSP00000361423	ENSP00000417451	909	923	0.09	MT
47451	ABL2	ENSP00000356595	ENSP00000358106	64	78	0.41	MT
47452	ABL2	ENSP00000356595	ENSP00000441463	10	24	0.45	MT
47453	ABL2	ENSP00000356595	ENSP00000354522	118	132	0.45	MT
47454	ABL2	ENSP00000356595	ENSP00000206249	212	226	0.41	MT
47455	ABL2	ENSP00000356595	ENSP00000460660	233	247	0.43	MT
47456	ABL2	ENSP00000356595	ENSP00000301532	254	268	0.48	MT
47457	ABL2	ENSP00000356595	ENSP00000367813	411	425	0.16	MT
47458	ABL2	ENSP00000356595	ENSP00000299300	290	304	0.42	MT
47459	ABL2	ENSP00000356595	ENSP00000475939	4418	4432	0.44	MT
47461	ABL2	ENSP00000356595	ENSP00000466331	171	185	0.45	MT
47462	ABL2	ENSP00000356595	ENSP00000355502	170	184	0.42	MT
47463	ABL2	ENSP00000356595	ENSP00000366936	239	253	0.53	MT
47464	ABL2	ENSP00000356595	ENSP00000385552	1079	1093	0.44	MT
47465	ABL2	ENSP00000356595	ENSP00000344757	178	192	0.18	MT
47466	ABL2	ENSP00000356595	ENSP00000388400	163	177	0.16	MT
47467	ABL2	ENSP00000356595	ENSP00000383157	155	169	0.42	MT
47468	ABL2	ENSP00000356595	ENSP00000407083	313	327	0.16	MT
47469	ABL2	ENSP00000356595	ENSP00000397297	105	119	0.47	MT
47470	ABL2	ENSP00000356595	ENSP00000221476	133	147	0.44	MT
47471	ABL2	ENSP00000356595	ENSP00000267584	383	397	0.19	MT
47472	ABL2	ENSP00000356595	ENSP00000387016	391	405	0.45	MT
47473	ABL2	ENSP00000356595	ENSP00000367465	277	291	0.21	MT
47474	ABL2	ENSP00000356595	ENSP00000399926	595	609	0.47	MT
47475	ABL2	ENSP00000356595	ENSP00000374253	336	350	0.42	MT
47476	ABL2	ENSP00000356595	ENSP00000355773	385	399	0.42	MT
47477	ABL2	ENSP00000356595	ENSP00000392123	4712	4726	0.48	MT
47478	ABL2	ENSP00000356595	ENSP00000455190	531	545	0.43	MT
47479	ABL2	ENSP00000356595	ENSP00000233057	447	461	0.49	MT
47480	ABL2	ENSP00000356595	ENSP00000413354	1009	1023	0.48	MT
47481	ABL2	ENSP00000356595	ENSP00000453542	117	131	0.43	MT
47482	ABL2	ENSP00000356595	ENSP00000361015	183	197	0.23	MT
47483	ABL2	ENSP00000356595	ENSP00000421078	920	934	0.51	MT
47485	ABL2	ENSP00000356595	ENSP00000454742	361	375	0.49	MT
47486	ABL2	ENSP00000356595	ENSP00000462464	537	551	0.45	MT
47487	ABL2	ENSP00000356595	ENSP00000397297	105	119	0.47	MT
47488	ABL2	ENSP00000356595	ENSP00000429508	350	364	0.46	MT
47489	ABL2	ENSP00000356595	ENSP00000261486	235	249	0.46	MT
47490	AKT1	ENSP00000385326	ENSP00000441817	521	535	0.68	MT
47491	AKT1	ENSP00000385326	ENSP00000302846	252	266	0.68	MT
47492	AKT1	ENSP00000385326	ENSP00000397389	1311	1325	0.68	MT
47493	AKT1	ENSP00000385326	ENSP00000426658	145	159	0.68	MT
47494	AKT1	ENSP00000385326	ENSP00000413628	885	899	0.04	MT
47495	AKT1	ENSP00000385326	ENSP00000467099	641	655	0.05	MT
47496	AKT1	ENSP00000385326	ENSP00000440360	471	485	0.7	MT
47497	AKT1	ENSP00000385326	ENSP00000458230	1444	1458	0.68	MT
47498	AKT1	ENSP00000385326	ENSP00000409618	381	395	0.69	MT
47499	AKT1	ENSP00000385326	ENSP00000449706	906	920	0.68	MT
47500	AKT1	ENSP00000385326	ENSP00000411144	1156	1170	0.68	MT
47501	AKT1	ENSP00000385326	ENSP00000451896	1419	1433	0.68	MT
47502	AKT1	ENSP00000385326	ENSP00000397660	122	136	0.04	MT
47503	AKT1	ENSP00000385326	ENSP00000361769	101	115	0.68	MT
47504	AKT1	ENSP00000385326	ENSP00000360985	607	621	0.68	MT
47505	AKT1	ENSP00000385326	ENSP00000475925	128	142	0.68	MT
47506	AKT1	ENSP00000385326	ENSP00000427568	584	598	0.69	MT
47507	AKT1	ENSP00000385326	ENSP00000425028	634	648	0.06	MT
47508	AKT1	ENSP00000385326	ENSP00000447441	2	16	0.69	MT
47509	AKT1	ENSP00000385326	ENSP00000431773	546	560	0.68	MT
47510	AKT1	ENSP00000385326	ENSP00000466470	1419	1433	0.69	MT
47511	AKT1	ENSP00000385326	ENSP00000447328	119	133	0.68	MT
47512	AKT1	ENSP00000385326	ENSP00000392674	1114	1128	0.68	MT
47513	AKT1	ENSP00000385326	ENSP00000446145	65	79	0.68	MT
47514	AKT1	ENSP00000385326	ENSP00000443168	40	54	0.68	MT
47515	AKT1	ENSP00000385326	ENSP00000258888	1376	1390	0.04	MT
47516	AKT1	ENSP00000385326	ENSP00000451543	768	782	0.68	MT
47517	AKT1	ENSP00000385326	ENSP00000374444	2098	2112	0.69	MT
47518	AKT1	ENSP00000385326	ENSP00000411386	148	162	0.69	MT
47519	AKT1	ENSP00000385326	ENSP00000463603	640	654	0.68	MT
47520	AKT1	ENSP00000385326	ENSP00000316699	672	686	0.69	MT
47521	AKT1	ENSP00000385326	ENSP00000264245	1171	1185	0.7	MT
47522	AKT1	ENSP00000385326	ENSP00000360660	108	122	0.04	MT
47523	AKT1	ENSP00000385326	ENSP00000367858	827	841	0.69	MT
47524	AKT1	ENSP00000385326	ENSP00000302139	747	761	0.68	MT
47525	AKT1	ENSP00000385326	ENSP00000409905	175	189	0.68	MT
47526	AKT1	ENSP00000385326	ENSP00000469271	487	501	0.04	MT
47527	AKT1	ENSP00000385326	ENSP00000394524	1093	1107	0.68	MT
47528	AKT1	ENSP00000385326	ENSP00000376112	712	726	0.05	MT
47529	AKT1	ENSP00000385326	ENSP00000401662	80	94	0.68	MT
47530	AKT1	ENSP00000385326	ENSP00000444262	2240	2254	0.04	MT
47531	AKT1	ENSP00000385326	ENSP00000303800	246	260	0.68	MT
47532	AKT1	ENSP00000385326	ENSP00000443351	388	402	0.69	MT
47533	AKT1	ENSP00000385326	ENSP00000404285	117	131	0.69	MT
47534	AKT1	ENSP00000385326	ENSP00000366244	578	592	0.69	MT
47535	AKT1	ENSP00000385326	ENSP00000382091	287	301	0.68	MT
47536	AKT1	ENSP00000385326	ENSP00000470442	191	205	0.68	MT
47537	AKT1	ENSP00000385326	ENSP00000465766	1555	1569	0.68	MT
47538	AKT1	ENSP00000385326	ENSP00000361926	219	233	0.04	MT
47539	AKT1	ENSP00000385326	ENSP00000379212	165	179	0.68	MT
47540	AKT1	ENSP00000385326	ENSP00000446243	1087	1101	0.69	MT
47541	AKT1	ENSP00000385326	ENSP00000389105	518	532	0.04	MT
47542	AKT1	ENSP00000385326	ENSP00000384600	93	107	0.68	MT
47543	AKT1	ENSP00000385326	ENSP00000413376	25	39	0.68	MT
47544	AKT1	ENSP00000385326	ENSP00000363617	564	578	0.68	MT
47545	AKT1	ENSP00000385326	ENSP00000433066	44	58	0.7	MT
47546	AKT1	ENSP00000385326	ENSP00000369039	486	500	0.69	MT
47547	AKT1	ENSP00000385326	ENSP00000412279	425	439	0.68	MT
47548	AKT1	ENSP00000385326	ENSP00000359987	318	332	0.69	MT
47549	AKT1	ENSP00000385326	ENSP00000445403	783	797	0.68	MT
47550	AKT1	ENSP00000385326	ENSP00000389000	1393	1407	0.68	MT
47551	AKT1	ENSP00000385326	ENSP00000446683	641	655	0.68	MT
47552	AKT1	ENSP00000385326	ENSP00000425986	274	288	0.04	MT
47553	AKT1	ENSP00000385326	ENSP00000465720	331	345	0.68	MT
47554	AKT1	ENSP00000385326	ENSP00000251091	NA	NA	0.68	MT
47555	AKT1	ENSP00000385326	ENSP00000356266	1007	1021	0.69	MT
47556	AKT1	ENSP00000385326	ENSP00000410669	893	907	0.68	MT
47557	AKT1	ENSP00000385326	ENSP00000388021	1850	1864	0.69	MT
47558	AKT1	ENSP00000385326	ENSP00000438521	42	56	0.69	MT
47559	AKT1	ENSP00000385326	ENSP00000416743	918	932	0.69	MT
47560	AKT1	ENSP00000385326	ENSP00000221455	298	312	0.69	MT
47561	AKT1	ENSP00000385326	ENSP00000432378	611	625	0.69	MT
47562	AKT1	ENSP00000385326	ENSP00000350990	1538	1552	0.68	MT
47563	AKT1	ENSP00000385326	ENSP00000365175	1076	1090	0.69	MT
47564	AKT1	ENSP00000385326	ENSP00000359463	1146	1160	0.69	MT
47565	AKT1	ENSP00000385326	ENSP00000432428	844	858	0.69	MT
47566	AKT1	ENSP00000385326	ENSP00000056217	4	18	0.68	MT
47567	AKT1	ENSP00000385326	ENSP00000395439	150	164	0.69	MT
47568	AKT1	ENSP00000385326	ENSP00000377645	755	769	0.68	MT
47569	AKT1	ENSP00000385326	ENSP00000395483	128	142	0.68	MT
47570	AKT1	ENSP00000385326	ENSP00000322791	418	432	0.69	MT
47571	AKT1	ENSP00000385326	ENSP00000357642	323	337	0.04	MT
47572	AKT1	ENSP00000385326	ENSP00000274710	728	742	0.68	MT
47573	AKT1	ENSP00000385326	ENSP00000443663	982	996	0.68	MT
47574	AKT1	ENSP00000385326	ENSP00000407621	36	50	0.7	MT
47575	AKT1	ENSP00000385326	ENSP00000354301	1633	1647	0.69	MT
47576	AKT1	ENSP00000385326	ENSP00000371985	439	453	0.7	MT
47577	AKT1	ENSP00000385326	ENSP00000332444	313	327	0.04	MT
47578	AKT1	ENSP00000385326	ENSP00000369317	12	26	0.68	MT
47579	AKT1	ENSP00000385326	ENSP00000458230	1928	1942	0.68	MT
47580	AKT1	ENSP00000385326	ENSP00000218056	106	120	0.69	MT
47581	AKT1	ENSP00000385326	ENSP00000401662	87	101	0.69	MT
47582	AKT1	ENSP00000385326	ENSP00000385571	112	126	0.69	MT
47583	AKT1	ENSP00000385326	ENSP00000356439	916	930	0.68	MT
47584	AKT1	ENSP00000385326	ENSP00000440343	256	270	0.69	MT
47585	AKT1	ENSP00000385326	ENSP00000310453	287	301	0.68	MT
47586	AKT1	ENSP00000385326	ENSP00000455823	26	40	0.7	MT
47587	AKT1	ENSP00000385326	ENSP00000420215	608	622	0.68	MT
47588	AKT1	ENSP00000385326	ENSP00000352610	262	276	0.05	MT
47589	AKT1	ENSP00000385326	ENSP00000429361	404	418	0.68	MT
47590	AKT1	ENSP00000385326	ENSP00000431734	NA	NA	0.69	MT
47591	AKT1	ENSP00000385326	ENSP00000320324	602	616	0.68	MT
47592	AKT1	ENSP00000385326	ENSP00000423510	243	257	0.68	MT
47593	AKT1	ENSP00000385326	ENSP00000226209	1472	1486	0.68	MT
47595	AKT1	ENSP00000385326	ENSP00000419330	918	932	0.05	MT
47596	AKT1	ENSP00000385326	ENSP00000470700	118	132	0.69	MT
47597	AKT1	ENSP00000385326	ENSP00000391405	322	336	0.68	MT
47598	AKT1	ENSP00000385326	ENSP00000413376	211	225	0.95	MT
47599	AKT1	ENSP00000385326	ENSP00000328287	121	135	0.68	MT
47600	AKT1	ENSP00000385326	ENSP00000357789	2882	2896	0.68	MT
47601	AKT1	ENSP00000385326	ENSP00000321161	67	81	0.69	MT
47602	AKT1	ENSP00000385326	ENSP00000326261	747	761	0.69	MT
47603	AKT1	ENSP00000385326	ENSP00000363553	237	251	0.68	MT
47604	AKT1	ENSP00000385326	ENSP00000381027	933	947	0.69	MT
47605	AKT1	ENSP00000385326	ENSP00000295269	627	641	0.68	MT
47606	AKT1	ENSP00000385326	ENSP00000466168	424	438	0.7	MT
47607	AKT1	ENSP00000385326	ENSP00000425699	2271	2285	0.68	MT
47608	AKT1	ENSP00000385326	ENSP00000342469	1011	1025	0.68	MT
47609	AKT1	ENSP00000385326	ENSP00000354441	381	395	0.7	MT
47610	AKT1	ENSP00000385326	ENSP00000302166	NA	NA	0.69	MT
47611	AKT1	ENSP00000385326	ENSP00000445608	3	17	0.04	MT
47612	AKT1	ENSP00000385326	ENSP00000397669	498	512	0.68	MT
47613	AKT1	ENSP00000385326	ENSP00000467124	2	16	0.68	MT
47614	AKT1	ENSP00000385326	ENSP00000220676	21	35	0.68	MT
47615	AKT1	ENSP00000385326	ENSP00000373565	907	921	0.68	MT
47616	AKT1	ENSP00000385326	ENSP00000411902	435	449	0.69	MT
47617	AKT1	ENSP00000385326	ENSP00000459829	279	293	0.68	MT
47618	AKT1	ENSP00000385326	ENSP00000395525	479	493	0.68	MT
47619	AKT1	ENSP00000385326	ENSP00000448404	137	151	0.68	MT
47620	AKT1	ENSP00000385326	ENSP00000384764	164	178	0.68	MT
47621	AKT1	ENSP00000385326	ENSP00000387791	109	123	0.69	MT
47622	AKT1	ENSP00000385326	ENSP00000398970	1502	1516	0.68	MT
47623	AKT1	ENSP00000385326	ENSP00000358635	573	587	0.68	MT
47624	AKT1	ENSP00000385326	ENSP00000470215	287	301	0.68	MT
47625	AKT1	ENSP00000385326	ENSP00000258111	NA	NA	0.68	MT
47626	AKT1	ENSP00000385326	ENSP00000356179	752	766	0.68	MT
47627	AKT1	ENSP00000385326	ENSP00000467989	158	172	0.69	MT
47628	AKT1	ENSP00000385326	ENSP00000420097	776	790	0.68	MT
47629	AKT1	ENSP00000385326	ENSP00000306983	402	416	0.68	MT
47630	AKT1	ENSP00000385326	ENSP00000385059	896	910	0.04	MT
47631	AKT1	ENSP00000385326	ENSP00000465065	341	355	0.69	MT
47632	AKT1	ENSP00000385326	ENSP00000470849	1246	1260	0.69	MT
47633	AKT1	ENSP00000385326	ENSP00000375777	331	345	0.68	MT
47634	AKT1	ENSP00000385326	ENSP00000445348	NA	NA	0.69	MT
47635	AKT1	ENSP00000385326	ENSP00000467141	275	289	0.68	MT
47636	AKT1	ENSP00000385326	ENSP00000403831	51	65	0.68	MT
47637	AKT1	ENSP00000385326	ENSP00000317106	7	21	0.7	MT
47638	AKT1	ENSP00000385326	ENSP00000453705	794	808	0.68	MT
47639	AKT1	ENSP00000385326	ENSP00000362746	312	326	0.05	MT
47640	AKT1	ENSP00000385326	ENSP00000470115	43	57	0.68	MT
47641	AKT1	ENSP00000385326	ENSP00000440682	1120	1134	0.69	MT
47642	AKT1	ENSP00000385326	ENSP00000408588	140	154	0.68	MT
47644	AKT1	ENSP00000385326	ENSP00000416797	819	833	0.68	MT
47645	AKT1	ENSP00000385326	ENSP00000429176	15	29	0.68	MT
47646	AKT1	ENSP00000385326	ENSP00000408660	340	354	0.04	MT
47647	AKT1	ENSP00000385326	ENSP00000356456	750	764	0.05	MT
47648	AKT1	ENSP00000385326	ENSP00000458230	447	461	0.68	MT
47649	AKT1	ENSP00000385326	ENSP00000385277	612	626	0.68	MT
47650	AKT1	ENSP00000385326	ENSP00000433714	453	467	0.7	MT
47651	AKT1	ENSP00000385326	ENSP00000417992	935	949	0.04	MT
47652	AKT1	ENSP00000385326	ENSP00000464742	315	329	0.69	MT
47653	AKT1	ENSP00000385326	ENSP00000448349	273	287	0.05	MT
47654	AKT1	ENSP00000385326	ENSP00000356576	1436	1450	0.68	MT
47655	AKT1	ENSP00000385326	ENSP00000262577	446	460	0.68	MT
47656	AKT1	ENSP00000385326	ENSP00000445904	493	507	0.04	MT
47657	AKT1	ENSP00000385326	ENSP00000403582	443	457	0.69	MT
47658	AKT1	ENSP00000385326	ENSP00000297071	33	47	0.69	MT
47659	AKT1	ENSP00000385326	ENSP00000431734	704	718	0.68	MT
47660	AKT1	ENSP00000385326	ENSP00000261202	1343	1357	0.68	MT
47661	AKT1	ENSP00000385326	ENSP00000314153	624	638	0.04	MT
47662	AKT1	ENSP00000385326	ENSP00000321813	335	349	0.04	MT
47663	AKT1	ENSP00000385326	ENSP00000272907	440	454	0.68	MT
47664	AKT1	ENSP00000385326	ENSP00000476222	2162	2176	0.68	MT
47666	AKT1	ENSP00000385326	ENSP00000451392	1799	1813	0.69	MT
47667	AKT1	ENSP00000385326	ENSP00000356563	194	208	0.05	MT
47668	AKT1	ENSP00000385326	ENSP00000242323	342	356	0.68	MT
47669	AKT1	ENSP00000385326	ENSP00000375613	312	326	0.69	MT
47670	AKT1	ENSP00000385326	ENSP00000427083	8426	8440	0.68	MT
47671	AKT1	ENSP00000385326	ENSP00000396699	325	339	0.68	MT
47672	AKT1	ENSP00000385326	ENSP00000378659	120	134	0.69	MT
47673	AKT1	ENSP00000385326	ENSP00000438566	288	302	0.69	MT
47674	AKT1	ENSP00000385326	ENSP00000384600	78	92	0.04	MT
47675	AKT1	ENSP00000385326	ENSP00000393397	248	262	0.69	MT
47676	AKT1	ENSP00000385326	ENSP00000467424	126	140	0.68	MT
47677	AKT1	ENSP00000385326	ENSP00000308772	191	205	0.05	MT
47678	AKT1	ENSP00000385326	ENSP00000429990	254	268	0.68	MT
47679	AKT1	ENSP00000385326	ENSP00000450945	555	569	0.68	MT
47680	AKT1	ENSP00000385326	ENSP00000246115	NA	NA	0.05	MT
47681	AKT1	ENSP00000385326	ENSP00000368880	322	336	0.04	MT
47682	AKT1	ENSP00000385326	ENSP00000456379	262	276	0.68	MT
47683	AKT1	ENSP00000385326	ENSP00000431734	114	128	0.69	MT
47684	AKT1	ENSP00000385326	ENSP00000394537	309	323	0.69	MT
47685	AKT1	ENSP00000385326	ENSP00000040738	628	642	0.69	MT
47686	AKT1	ENSP00000385326	ENSP00000375936	306	320	0.69	MT
47687	AKT1	ENSP00000385326	ENSP00000467141	275	289	0.68	MT
47688	AKT1	ENSP00000385326	ENSP00000354649	178	192	0.68	MT
47689	AKT1	ENSP00000385326	ENSP00000329632	254	268	0.68	MT
47690	AKT1	ENSP00000385326	ENSP00000358437	217	231	0.68	MT
47691	AKT1	ENSP00000385326	ENSP00000430205	723	737	0.69	MT
47692	AKT1	ENSP00000385326	ENSP00000469874	52	66	0.68	MT
47693	AKT1	ENSP00000385326	ENSP00000407774	930	944	0.69	MT
47694	AKT1	ENSP00000385326	ENSP00000366275	657	671	0.7	MT
47695	AKT1	ENSP00000385326	ENSP00000251038	320	334	0.69	MT
47696	AKT1	ENSP00000385326	ENSP00000308944	628	642	0.68	MT
47697	AKT1	ENSP00000385326	ENSP00000345029	341	355	0.68	MT
47698	AKT1	ENSP00000385326	ENSP00000268763	262	276	0.69	MT
47699	AKT1	ENSP00000385326	ENSP00000356405	167	181	0.68	MT
47700	AKT1	ENSP00000385326	ENSP00000430262	452	466	0.68	MT
47701	AKT1	ENSP00000385326	ENSP00000447192	124	138	0.69	MT
47702	AKT1	ENSP00000385326	ENSP00000186436	1864	1878	0.69	MT
47703	AKT1	ENSP00000385326	ENSP00000384537	241	255	0.68	MT
47704	AKT1	ENSP00000385326	ENSP00000314103	466	480	0.68	MT
47705	AKT1	ENSP00000385326	ENSP00000333568	242	256	0.69	MT
47706	AKT1	ENSP00000385326	ENSP00000299563	361	375	0.68	MT
47707	AKT1	ENSP00000385326	ENSP00000409279	344	358	0.68	MT
47708	AKT1	ENSP00000385326	ENSP00000369695	295	309	0.05	MT
47709	AKT1	ENSP00000385326	ENSP00000292069	1	15	0.68	MT
47710	AKT1	ENSP00000385326	ENSP00000359203	720	734	0.68	MT
47711	AKT1	ENSP00000385326	ENSP00000395143	1084	1098	0.7	MT
47712	AKT1	ENSP00000385326	ENSP00000430472	1549	1563	0.68	MT
47713	AKT1	ENSP00000385326	ENSP00000468816	173	187	0.69	MT
47714	AKT1	ENSP00000385326	ENSP00000417992	314	328	0.68	MT
47715	AKT1	ENSP00000385326	ENSP00000350073	1171	1185	0.69	MT
47716	AKT1	ENSP00000385326	ENSP00000431911	337	351	0.68	MT
47717	AKT1	ENSP00000385326	ENSP00000389126	224	238	0.05	MT
47718	AKT1	ENSP00000385326	ENSP00000410036	272	286	0.68	MT
47719	AKT1	ENSP00000385326	ENSP00000387657	888	902	0.68	MT
47720	AKT1	ENSP00000385326	ENSP00000466470	57	71	0.04	MT
47721	AKT1	ENSP00000385326	ENSP00000467124	2	16	0.68	MT
47722	AKT1	ENSP00000385326	ENSP00000319087	333	347	0.68	MT
47723	AKT1	ENSP00000385326	ENSP00000438926	1920	1934	0.05	MT
47724	AKT1	ENSP00000385326	ENSP00000280435	812	826	0.68	MT
47725	AKT1	ENSP00000385326	ENSP00000373518	533	547	0.69	MT
47726	AKT1	ENSP00000385326	ENSP00000445721	1029	1043	0.68	MT
47727	AKT1	ENSP00000385326	ENSP00000459231	660	674	0.68	MT
47728	AKT1	ENSP00000385326	ENSP00000430805	334	348	0.68	MT
47729	AKT1	ENSP00000385326	ENSP00000429787	1	15	0.04	MT
47730	AKT1	ENSP00000385326	ENSP00000458766	4	18	0.69	MT
47731	AKT1	ENSP00000385326	ENSP00000418101	NA	NA	0.03	MT
47732	AKT1	ENSP00000385326	ENSP00000385418	539	553	0.68	MT
47733	AKT1	ENSP00000385326	ENSP00000475141	226	240	0.05	MT
47734	AKT1	ENSP00000385326	ENSP00000369188	158	172	0.04	MT
47735	AKT1	ENSP00000385326	ENSP00000314709	213	227	0.68	MT
47736	AKT1	ENSP00000385326	ENSP00000350657	188	202	0.68	MT
47737	AKT1	ENSP00000385326	ENSP00000396105	302	316	0.68	MT
47738	AKT1	ENSP00000385326	ENSP00000348779	551	565	0.68	MT
47739	AKT1	ENSP00000385326	ENSP00000419974	690	704	0.69	MT
47741	AKT1	ENSP00000385326	ENSP00000453297	339	353	0.68	MT
47742	AKT1	ENSP00000385326	ENSP00000435176	407	421	0.06	MT
47743	AKT1	ENSP00000385326	ENSP00000323349	156	170	0.69	MT
47744	AKT1	ENSP00000385326	ENSP00000355393	260	274	0.68	MT
